epoch,loss,accuracy
0,12.575651168823242,0.6036278605461121
1,4.085143566131592,0.6673597097396851
2,2.1303212642669678,0.6868250966072083
3,1.2842357158660889,0.702800452709198
4,0.8795214295387268,0.7152965068817139
5,0.6546675562858582,0.7284395694732666
6,0.5232729315757751,0.7449877858161926
7,0.49423402547836304,0.752848207950592
8,0.4915483295917511,0.7540892958641052
9,0.48822021484375,0.756072998046875
10,0.4797714054584503,0.7587885856628418
11,0.4733124077320099,0.7635833024978638
12,0.47058892250061035,0.7631802558898926
13,0.4677118957042694,0.7648668885231018
14,0.4651240408420563,0.7656094431877136
15,0.46376344561576843,0.7663519382476807
16,0.4618673324584961,0.7664474248886108
17,0.46120017766952515,0.767349123954773
18,0.4595349133014679,0.7684841156005859
19,0.45842573046684265,0.7679431438446045
20,0.4575575292110443,0.7693115472793579
21,0.456901878118515,0.7683568596839905
22,0.45754995942115784,0.7672111988067627
23,0.45539307594299316,0.7688447833061218
24,0.4545687139034271,0.7679325342178345
25,0.4543897211551666,0.7680386304855347
26,0.453781396150589,0.7687811851501465
27,0.45509645342826843,0.7684417366981506
28,0.4527536928653717,0.7679537534713745
29,0.452806681394577,0.7691312432289124
30,0.4519996643066406,0.7684099078178406
31,0.4508146047592163,0.7701177597045898
32,0.45006653666496277,0.7696085572242737
33,0.45092466473579407,0.7698525786399841
34,0.45019251108169556,0.7704784274101257
35,0.4501756429672241,0.7685583829879761
36,0.4497580826282501,0.7708390951156616
37,0.44936859607696533,0.7700116634368896
38,0.4528886377811432,0.7700116634368896
39,0.4502298831939697,0.7707011699676514
40,0.44886189699172974,0.7708603143692017
41,0.44679930806159973,0.769799530506134
42,0.4490436315536499,0.7712951898574829
43,0.44827279448509216,0.7702556252479553
44,0.4473296105861664,0.7712528109550476
45,0.4470990002155304,0.771761953830719
46,0.4488290846347809,0.772186279296875
47,0.4471723139286041,0.7712845802307129
48,0.4480960965156555,0.77020263671875
49,0.4472596049308777,0.7715286016464233
50,0.44641435146331787,0.7712845802307129
51,0.44364216923713684,0.7713057994842529
52,0.4433647096157074,0.7715816497802734
53,0.4463214874267578,0.7719635367393494
54,0.4438324570655823,0.7712528109550476
55,0.4440250098705292,0.7705738544464111
56,0.4443078339099884,0.7714437246322632
57,0.44853389263153076,0.7720165252685547
58,0.44652870297431946,0.7725151181221008
59,0.44404375553131104,0.7728970050811768
60,0.442291796207428,0.7718786597251892
61,0.444457083940506,0.7727166414260864
62,0.44351932406425476,0.7730348706245422
63,0.44214192032814026,0.7715073823928833
64,0.4452645182609558,0.771337628364563
65,0.44637593626976013,0.7720589637756348
66,0.44486576318740845,0.7715710401535034
67,0.44305986166000366,0.7726742625236511
68,0.4443439543247223,0.7728970050811768
69,0.44344502687454224,0.7736395597457886
70,0.4435930848121643,0.7720907926559448
71,0.4417867362499237,0.7727272510528564
