rank,num_layers,activation_func,dropout_rate,batchnorm,units_l0,learning_rate,optimizer_name,batch_size,units_l1,units_l2,units_l3,units_l4,weight_decay
1,2,elu,0.0,False,64,0.0013587423592826974,nadam,32,32,,,,
2,2,leaky_relu,0.4,True,256,0.00044451511169648424,adam,256,64,32.0,128.0,32.0,1.378325842049927e-05
3,1,relu,0.4,True,64,0.0004118885383206313,adam,256,64,64.0,128.0,32.0,0.00013497541900983517
4,1,leaky_relu,0.0,True,512,0.00011713931734866923,rmsprop,1024,128,32.0,32.0,512.0,1.847628690885215e-05
5,4,elu,0.30000000000000004,True,256,0.0011755140323423952,adam,64,512,32.0,32.0,64.0,0.00022261711101035104
