Strategy,Trial,Outcome,Turns,Conflicts,Avg_Wait_Time,Fairness_Index,PacmanA_Score,PacmanB_Score,PacmanC_Score
ALTERNATING_OFFER,98,LOSS,1107,53,17,0.6426982950333581,470,650,710
ALTERNATING_OFFER,99,WIN,348,101,33.666666666666664,0.33999933339999333,410,830,600
ALTERNATING_OFFER,100,WIN,534,44,14.666666666666666,0.3488288288288288,980,420,470
ALTERNATING_OFFER,101,WIN,349,11,3.6666666666666665,0.39933993399339934,810,740,320
ALTERNATING_OFFER,102,WIN,602,6,2,0.46153846153846156,640,1030,230
ALTERNATING_OFFER,103,WIN,276,14,3.6666666666666665,0.3333333333333333,650,270,970
ALTERNATING_OFFER,104,LOSS,1111,6,2,0.46153846153846156,380,650,770
ALTERNATING_OFFER,105,WIN,217,4,1,0.6,420,600,840
ALTERNATING_OFFER,106,WIN,176,1,0.3333333333333333,0.3333333333333333,760,440,700
ALTERNATING_OFFER,107,WIN,938,18,6,0.3333333333333333,790,940,130
ALTERNATING_OFFER,108,LOSS,664,10,3.3333333333333335,0.3333333333333333,890,460,350
ALTERNATING_OFFER,109,LOSS,1036,2,0.6666666666666666,0.6666666666666666,990,490,360
ALTERNATING_OFFER,110,WIN,563,2,0.6666666666666666,0.6666666666666666,220,570,1060
ALTERNATING_OFFER,111,WIN,170,19,6,0.46153846153846156,610,350,920
ALTERNATING_OFFER,112,LOSS,515,53,17,0.49177538287010775,340,780,600
ALTERNATING_OFFER,113,WIN,342,0,0,0,720,830,310
ALTERNATING_OFFER,114,WIN,453,25,7.333333333333333,0.3650075414781297,820,470,580
ALTERNATING_OFFER,115,LOSS,1229,5,1,0.6,270,510,1080
ALTERNATING_OFFER,116,LOSS,1270,11,3.3333333333333335,0.4065040650406504,420,830,630
ALTERNATING_OFFER,117,LOSS,1118,4,0.3333333333333333,0.3333333333333333,460,1050,360
ALTERNATING_OFFER,118,WIN,164,3,0.6666666666666666,0.6666666666666666,830,400,640
ALTERNATING_OFFER,119,WIN,364,1,0.3333333333333333,0.3333333333333333,1360,200,290
ALTERNATING_OFFER,120,WIN,951,9,2.6666666666666665,0.4266666666666667,500,640,730
ALTERNATING_OFFER,121,WIN,150,5,0.6666666666666666,0.6666666666666666,590,290,1010
ALTERNATING_OFFER,122,LOSS,846,42,13.666666666666666,0.5688663282571912,460,1040,310
ALTERNATING_OFFER,123,WIN,383,39,12.666666666666666,0.37082691319979455,410,840,620
ALTERNATING_OFFER,124,LOSS,1422,2,0.6666666666666666,0.6666666666666666,380,990,500
ALTERNATING_OFFER,125,WIN,442,13,3.6666666666666665,0.5525114155251142,620,610,690
ALTERNATING_OFFER,126,WIN,665,3,1,0.3333333333333333,340,940,540
ALTERNATING_OFFER,127,LOSS,896,51,17,0.3604989604989605,730,1000,90
ALTERNATING_OFFER,128,WIN,230,4,1,0.6,230,1290,360
ALTERNATING_OFFER,129,WIN,264,4,1,0.6,830,470,540
ALTERNATING_OFFER,130,LOSS,887,1,0.3333333333333333,0.3333333333333333,570,40,360
ALTERNATING_OFFER,131,WIN,440,5,1.6666666666666667,0.7575757575757576,760,250,840
ALTERNATING_OFFER,132,WIN,794,3,1,0.6,720,620,540
ALTERNATING_OFFER,133,WIN,185,2,0.6666666666666666,0.6666666666666666,350,1030,490
ALTERNATING_OFFER,134,WIN,720,8,2.6666666666666665,0.5614035087719298,590,750,520
ALTERNATING_OFFER,135,WIN,801,73,24.333333333333332,0.3425908068145291,850,460,550
ALTERNATING_OFFER,136,LOSS,898,1,0.3333333333333333,0.3333333333333333,390,830,610
ALTERNATING_OFFER,137,WIN,891,35,11,0.3541463414634146,1000,410,460
ALTERNATING_OFFER,138,WIN,743,16,5,0.3333333333333333,120,860,850
ALTERNATING_OFFER,139,LOSS,948,1,0.3333333333333333,0.3333333333333333,670,370,90
ALTERNATING_OFFER,140,WIN,266,9,3,0.4153846153846154,710,360,760
ALTERNATING_OFFER,141,WIN,835,20,5.666666666666667,0.598343685300207,410,670,760
ALTERNATING_OFFER,142,LOSS,834,320,106,0.3483742946319684,800,280,820
ALTERNATING_OFFER,143,WIN,516,58,18.666666666666668,0.3454505397664684,480,710,680
ALTERNATING_OFFER,144,WIN,297,8,2.6666666666666665,0.4266666666666667,650,750,490
ALTERNATING_OFFER,145,LOSS,1202,6,2,0.46153846153846156,470,420,970
ALTERNATING_OFFER,146,WIN,659,292,97.33333333333333,0.3333333333333333,790,540,530
ALTERNATING_OFFER,147,WIN,469,20,6.333333333333333,0.41069397042093286,660,480,710
ALTERNATING_OFFER,148,LOSS,708,114,38,0.5097670040009414,690,740,430
ALTERNATING_OFFER,149,WIN,743,7,1.6666666666666667,0.3333333333333333,820,70,970
ALTERNATING_OFFER,150,LOSS,954,43,14,0.44144144144144143,720,850,330
ALTERNATING_OFFER,151,LOSS,645,133,44,0.46800966962127316,500,740,490
ALTERNATING_OFFER,152,WIN,348,42,11.333333333333334,0.4952870608397601,440,960,500
ALTERNATING_OFFER,153,WIN,176,1,0.3333333333333333,0.3333333333333333,310,1140,400
ALTERNATING_OFFER,154,WIN,622,11,3.3333333333333335,0.4065040650406504,340,760,750
ALTERNATING_OFFER,155,WIN,424,2,0.3333333333333333,0.3333333333333333,360,920,560
ALTERNATING_OFFER,156,WIN,395,2,0.3333333333333333,0.3333333333333333,250,850,770
ALTERNATING_OFFER,157,LOSS,803,61,20.333333333333332,0.3444413588817921,70,1360,450
ALTERNATING_OFFER,158,WIN,595,147,49,0.3333333333333333,860,140,870
ALTERNATING_OFFER,159,WIN,440,1,0.3333333333333333,0.3333333333333333,290,180,1380
ALTERNATING_OFFER,160,LOSS,1694,13,4.333333333333333,0.38850574712643676,780,470,530
ALTERNATING_OFFER,161,WIN,593,61,20.333333333333332,0.8101458741563249,410,750,680
ALTERNATING_OFFER,162,WIN,368,0,0,0,400,290,1140
ALTERNATING_OFFER,163,WIN,440,13,4,0.3333333333333333,380,830,680
ALTERNATING_OFFER,164,WIN,575,1,0.3333333333333333,0.3333333333333333,710,800,370
ALTERNATING_OFFER,165,WIN,385,26,8.666666666666666,0.5661641541038526,740,750,390
ALTERNATING_OFFER,166,WIN,398,1,0.3333333333333333,0.3333333333333333,950,310,620
ALTERNATING_OFFER,167,WIN,434,1,0.3333333333333333,0.3333333333333333,960,760,170
ALTERNATING_OFFER,168,WIN,520,71,23.666666666666668,0.34285519961912536,890,630,340
ALTERNATING_OFFER,169,WIN,231,1,0.3333333333333333,0.3333333333333333,650,640,570
ALTERNATING_OFFER,170,WIN,476,37,11,0.6205128205128205,530,730,650
ALTERNATING_OFFER,171,WIN,502,8,2.6666666666666665,0.8888888888888888,770,690,410
ALTERNATING_OFFER,172,WIN,203,2,0.6666666666666666,0.6666666666666666,520,360,980
ALTERNATING_OFFER,173,LOSS,859,12,3.6666666666666665,0.6205128205128205,530,800,510
ALTERNATING_OFFER,174,WIN,543,22,7,0.5384615384615384,450,580,840
ALTERNATING_OFFER,175,LOSS,858,1,0.3333333333333333,0.3333333333333333,200,330,410
ALTERNATING_OFFER,176,WIN,564,6,1.3333333333333333,0.8888888888888888,510,550,810
