Strategy,Trial,Outcome,Turns,Conflicts,Avg_Wait_Time,Fairness_Index,PacmanA_Score,PacmanB_Score,PacmanC_Score
PRIORITY_BASED,91,WIN,368,6,1.3333333333333333,0.5333333333333333,990,330,570
PRIORITY_BASED,92,WIN,319,14,4.666666666666667,0.6163522012578616,540,430,890
PRIORITY_BASED,93,WIN,323,15,5,0.38071065989847713,490,1010,370
PRIORITY_BASED,94,LOSS,1213,62,20.666666666666668,0.5125333333333333,590,980,140
PRIORITY_BASED,95,WIN,1292,22,7,0.36658354114713215,820,330,720
PRIORITY_BASED,96,WIN,800,8,2.6666666666666665,0.6274509803921569,70,500,1290
PRIORITY_BASED,97,WIN,611,22,7.333333333333333,0.6157760814249363,720,170,960
PRIORITY_BASED,98,WIN,463,17,5.666666666666667,0.3748378728923476,260,750,870
PRIORITY_BASED,99,LOSS,829,32,10,0.43352601156069365,960,210,630
PRIORITY_BASED,100,LOSS,1105,0,0,0,720,760,220
PRIORITY_BASED,101,WIN,380,15,4.666666666666667,0.3333333333333333,570,390,870
PRIORITY_BASED,102,WIN,205,4,1.3333333333333333,0.3333333333333333,640,580,640
PRIORITY_BASED,103,WIN,681,58,18.666666666666668,0.6541510221109721,890,540,450
PRIORITY_BASED,104,LOSS,1146,7,2.3333333333333335,0.3333333333333333,630,540,610
PRIORITY_BASED,105,WIN,421,11,3.3333333333333335,0.7936507936507936,300,1040,520
PRIORITY_BASED,106,WIN,368,17,5.333333333333333,0.4794007490636704,210,990,630
PRIORITY_BASED,107,WIN,365,11,3.6666666666666665,0.3333333333333333,1340,60,490
PRIORITY_BASED,108,LOSS,1138,4,1.3333333333333333,0.8888888888888888,990,310,510
PRIORITY_BASED,109,WIN,286,38,12.666666666666666,0.351338199513382,720,340,800
PRIORITY_BASED,110,WIN,257,38,12.666666666666666,0.351338199513382,560,990,320
PRIORITY_BASED,111,LOSS,896,1,0.3333333333333333,0.3333333333333333,720,260,140
PRIORITY_BASED,112,LOSS,1006,13,4.333333333333333,0.3333333333333333,330,430,910
PRIORITY_BASED,113,WIN,205,1,0.3333333333333333,0.3333333333333333,520,700,660
PRIORITY_BASED,114,WIN,397,16,5.333333333333333,0.3775811209439528,590,210,1070
PRIORITY_BASED,115,LOSS,981,3,1,0.3333333333333333,360,820,660
PRIORITY_BASED,116,WIN,323,1,0.3333333333333333,0.3333333333333333,1320,320,250
PRIORITY_BASED,117,WIN,630,1,0.3333333333333333,0.3333333333333333,590,830,420
PRIORITY_BASED,118,WIN,697,25,8.333333333333334,0.42258282623394183,430,680,750
PRIORITY_BASED,119,WIN,330,2,0.6666666666666666,0.6666666666666666,590,560,710
PRIORITY_BASED,120,WIN,314,78,25.333333333333332,0.6312568306010929,880,520,470
PRIORITY_BASED,121,WIN,323,27,9,0.35893648449039883,340,830,700
PRIORITY_BASED,122,LOSS,1089,16,5,0.6,690,500,640
PRIORITY_BASED,123,WIN,518,153,51,0.3558301792147385,530,680,630
PRIORITY_BASED,124,WIN,254,4,1.3333333333333333,0.5333333333333333,990,370,500
PRIORITY_BASED,125,WIN,613,8,2.6666666666666665,0.4266666666666667,390,400,1090
PRIORITY_BASED,126,WIN,367,1,0.3333333333333333,0.3333333333333333,640,910,310
PRIORITY_BASED,127,LOSS,656,13,4.333333333333333,0.3333333333333333,490,50,740
PRIORITY_BASED,128,WIN,410,32,10.666666666666666,0.4015686274509804,730,460,650
PRIORITY_BASED,129,WIN,308,6,2,0.3333333333333333,1050,260,550
PRIORITY_BASED,130,WIN,376,94,31.333333333333332,0.3333333333333333,490,1020,330
PRIORITY_BASED,131,LOSS,1052,120,40,0.6577144423129625,490,990,380
PRIORITY_BASED,132,WIN,392,1,0.3333333333333333,0.3333333333333333,370,1410,90
PRIORITY_BASED,133,WIN,132,1,0.3333333333333333,0.3333333333333333,530,690,680
PRIORITY_BASED,134,WIN,460,22,3,0.3333333333333333,830,680,360
PRIORITY_BASED,135,LOSS,1199,0,0,0,410,510,720
PRIORITY_BASED,136,LOSS,1108,166,55.333333333333336,0.36720769702300043,690,330,840
PRIORITY_BASED,137,WIN,581,11,3.6666666666666665,0.4745098039215686,550,890,430
PRIORITY_BASED,138,LOSS,1085,12,4,0.39344262295081966,400,250,1200
PRIORITY_BASED,139,LOSS,1045,27,8,0.3622641509433962,940,620,190
PRIORITY_BASED,140,LOSS,1435,35,11.666666666666666,0.3529242293287237,490,710,670
PRIORITY_BASED,141,LOSS,1121,13,4.333333333333333,0.3333333333333333,210,1210,290
PRIORITY_BASED,142,WIN,168,10,3.3333333333333335,0.3333333333333333,710,780,370
PRIORITY_BASED,143,WIN,609,3,1,0.3333333333333333,290,1020,580
PRIORITY_BASED,144,WIN,595,154,51.333333333333336,0.436036036036036,400,610,890
PRIORITY_BASED,145,LOSS,1313,4,0.3333333333333333,0.3333333333333333,600,930,330
PRIORITY_BASED,146,LOSS,1042,6,2,0.6666666666666666,500,500,850
PRIORITY_BASED,147,WIN,369,1,0.3333333333333333,0.3333333333333333,570,80,1190
PRIORITY_BASED,148,LOSS,975,30,10,0.35629453681710216,590,120,920
PRIORITY_BASED,149,WIN,306,1,0.3333333333333333,0.3333333333333333,500,320,1020
PRIORITY_BASED,150,WIN,562,47,14.666666666666666,0.38185404339250495,510,950,390
PRIORITY_BASED,151,WIN,223,7,2.3333333333333335,0.44144144144144143,610,740,540
PRIORITY_BASED,152,LOSS,1131,8,2.6666666666666665,0.4266666666666667,200,910,710
