epoch,loss,accuracy,lr
0,39.65215301513672,0.526975691318512,0.0026634587
1,4.962636470794678,0.5825607180595398,0.0026634587
2,1.6721645593643188,0.6313143372535706,0.0026634587
3,0.8532605767250061,0.668155312538147,0.0026634587
4,0.638660728931427,0.6948552131652832,0.0026634587
5,0.5774649381637573,0.7092606425285339,0.0026634587
6,0.5470184087753296,0.7236236333847046,0.0026634587
7,0.5342788100242615,0.7309748530387878,0.0026634587
8,0.5248247981071472,0.7370107173919678,0.0026634587
9,0.5234429240226746,0.7380715012550354,0.0026634587
10,0.5173317193984985,0.7411901950836182,0.0026634587
11,0.5111059546470642,0.7448393106460571,0.0026634587
12,0.5727835893630981,0.7340935468673706,0.0026634587
13,0.5462876558303833,0.7337965369224548,0.0026634587
14,0.5060079097747803,0.7516282796859741,0.0026634587
15,0.49259158968925476,0.7563169598579407,0.0026634587
16,0.48631536960601807,0.7581096887588501,0.0026634587
17,0.47959232330322266,0.7612389922142029,0.0026634587
18,0.47914406657218933,0.7619391083717346,0.0026634587
19,0.47376754879951477,0.7641986012458801,0.0026634587
20,0.4697874188423157,0.7647289633750916,0.0026634587
21,0.46549803018569946,0.7667126059532166,0.0026634587
22,0.46686404943466187,0.7666702270507812,0.0026634587
23,0.4634992778301239,0.7672430276870728,0.0026634587
24,0.4623899459838867,0.7667126059532166,0.0026634587
25,0.4585111141204834,0.7679007053375244,0.0026634587
26,0.46156880259513855,0.7666702270507812,0.0026634587
27,0.5275798439979553,0.7462607622146606,0.0026634587
28,0.46201103925704956,0.7676143050193787,0.0026634587
29,0.4576103687286377,0.7686856985092163,0.0026634587
30,0.45677468180656433,0.7681552767753601,0.0026634587
31,0.45616355538368225,0.768919050693512,0.0026634587
32,0.4544207751750946,0.7693115472793579,0.0026634587
33,0.4535852074623108,0.7691418528556824,0.0026634587
34,0.4517236351966858,0.7707011699676514,0.0026634587
35,0.45232290029525757,0.7703511118888855,0.0026634587
36,0.45380327105522156,0.7693964242935181,0.0026634587
